claim_id,claim_date,customer_id,customer_name,sku_id,claim_type,quantity,claim_amount,approved_amount,status,reason_text,document_status
ASPCLM0000001,07/16/2024,ASPDLR000490,City Arun Paints,ASP0015,Shade complaint,15,63576.93,7002.34,Credit note raised,rate difference,manual approval
ASPCLM0000002,2025-04-11,ASPDLR000361,Ganesh Jagan Corporation,ASP0014,Expiry,29,67242.26,34190.62,Pending photo,leakage,photo missing
ASPCLM0000003,23/05/2025,ASPDLR000536,New Senthil Fertilisers,ASP0022,Return,17,80486.57,61645.73,Open,damaged in transit,photo missing
ASPCLM0000004,2025-02-06,ASPDLR000452,Vijaya Farida Associates,ASP0002,Damaged stock,31,17190.02,12752.50,Credit note raised,batch issue,invoice missing
ASPCLM0000005,2025-05-22,ASPDLR000990,United Irfan Paints,ASP0018,Expiry,39,79817.92,79406.71,Pending photo,batch issue,invoice missing
ASPCLM0000006,2026-02-26,ASPDLR000501,Star Farida Paints,ASP0018,Expiry,48,13628.03,8233.41,Credit note raised,wrong SKU billed,complete
ASPCLM0000007,15/09/2025,ASPDLR000341,Mahalakshmi Deepak Paints,ASP0008,Damaged stock,3,67440.42,18723.97,Rejected,dealer says slow moving,invoice missing
ASPCLM0000008,2024-05-20,ASPDLR000022,Vijaya Lakshmi Paints,ASP0024,Return,31,63300.26,42177.42,Credit note raised,wrong SKU billed,complete
ASPCLM0000009,2024-04-19,ASPDLR000454,Sree Kavya Paints,ASP0009,Damaged stock,41,76505.29,45352.66,Rejected,rate difference,complete
ASPCLM0000010,2025-08-14,ASPDLR000300,Sree Farida Paints,ASP0004,Service complaint,15,45568.07,21596.40,Credit note raised,warranty defect,photo missing
ASPCLM0000011,2025-11-03,ASPDLR000830,Prime Hari Corporation,ASP0026,Damaged stock,12,57725.08,7587.36,Pending photo,dealer says slow moving,duplicate suspected
ASPCLM0000012,07/01/2025,ASPDLR000432,Murugan Ganesh Depot,ASP0006,Damaged stock,50,62327.12,58553.28,Approved,batch issue,photo missing
ASPCLM0000013,08/28/2024,ASPDLR000872,Modern Suresh Agencies,ASP0003,Scheme claim,32,5704.80,2148.32,Pending photo,expired stock,duplicate suspected
ASPCLM0000014,2025-10-07,ASPDLR000603,Star Suresh Paints Main,ASP0006,Scheme claim,7,31097.43,1491.14,Rejected,damaged in transit,manual approval
ASPCLM0000015,2025-03-05,ASPDLR000878,Vijaya Prakash Chemicals Ltd,ASP0001,Service complaint,38,53557.61,12230.57,Approved,wrong SKU billed,invoice missing
ASPCLM0000016,2026-02-07,ASPDLR000682,Shree Rafiq Stores,ASP0003,Damaged stock,9,67851.44,31409.17,Pending photo,batch issue,manual approval
ASPCLM0000017,2025-05-08,ASPDLR000096,Metro Hari Paints,ASP0004,Return,10,74308.14,1264.52,Credit note raised,damaged in transit,photo missing
ASPCLM0000018,2024-09-20,ASPDLR001000,Ganesh Prakash Services,ASP0022,Return,13,67489.20,62628.99,Settled,leakage,invoice missing
ASPCLM0000019,2024-06-05,ASPDLR000737,Prime Revathi Paints,ASP0006,Service complaint,2,11866.21,2843.41,Pending photo,wrong SKU billed,photo missing
ASPCLM0000020,2025-01-04,ASPDLR000812,Lucky Naveen Paints,ASP0022,Scheme claim,40,15530.80,7064.45,Open,wrong SKU billed,invoice missing
ASPCLM0000021,2025-10-11,ASPDLR000184,City Lokesh Paints,ASP0009,Damaged stock,23,21300.38,9105.69,Settled,batch issue,manual approval
ASPCLM0000022,2025-03-10,ASPDLR000870,Balaji Priya Agro,ASP0016,Rate difference,54,19475.35,13669.55,Credit note raised,expired stock,manual approval
