claim_id,claim_date,customer_id,customer_name,sku_id,claim_type,quantity,claim_amount,approved_amount,status,reason_text,document_status
CEACLM0000001,12/18/2025,CEASUB003045,National Lokesh Services,CEA0018,Scheme claim,53,27415.29,19093.60,Approved,leakage,complete
CEACLM0000002,2024-12-27,CEASUB003566,City Farida Hardware,CEA0001,Warranty claim,46,26968.11,15703.36,Open,damaged in transit,invoice missing
CEACLM0000003,2024-07-03,CEADLR000182,Lucky Hari Tyres,CEA0003,Manufacturing defect,51,58099.13,19538.87,Credit note raised,leakage,duplicate suspected
CEACLM0000004,01/05/2025,CEASUB000570,New Prakash Paints,CEA0010,Scheme claim,10,32878.90,32728.18,Rejected,damaged in transit,manual approval
CEACLM0000005,2024-10-08,CEASUB003877,Sree Deepak Agro,CEA0015,Scheme claim,35,14815.84,2012.58,Pending photo,expired stock,photo missing
CEACLM0000006,2025-05-22,CEASUB004491,Vijaya Sowmya Distributors,CEA0008,Tread wear,26,24044.10,13613.58,Credit note raised,wrong SKU billed,photo missing
CEACLM0000007,2025-12-09,CEASUB003934,Sree Rafiq Fertilisers,CEA0012,Tread wear,20,78184.20,3681.60,Settled,wrong SKU billed,duplicate suspected
CEACLM0000008,2025-03-12,CEADLR000052,City Anand Stores,CEA0033,Warranty claim,56,2690.76,396.94,Pending photo,batch issue,photo missing
CEACLM0000009,2024-06-26,CEASUB003373,ROYAL KAVYA TYRES,CEA0020,Warranty claim,19,59174.73,58922.22,Approved,damaged in transit,photo missing
CEACLM0000010,2024-11-17,CEADLR000257,Modern Deepak Mart,CEA0028,Transit damage,20,52336.09,19579.59,Rejected,batch issue,invoice missing
CEACLM0000011,04/30/2024,CEASUB003038,Murugan Lakshmi Tyres,CEA0035,Scheme claim,53,52772.68,17136.62,Pending photo,warranty defect,duplicate suspected
CEACLM0000012,2024-05-09,CEADLR000240,Kaveri Hari Tyres,CEA0011,Manufacturing defect,10,34342.02,12686.59,Settled,dealer says slow moving,manual approval
CEACLM0000013,2024-08-24,CEASUB001443,METRO LAKSHMI CHEMICALS,CEA0033,Transit damage,55,21861.30,10556.39,Open,leakage,manual approval
CEACLM0000014,05/27/2025,CEASUB001023,National Sanjay Hardware,CEA0018,Bead damage,18,7846.79,7037.43,Pending photo,warranty defect,photo missing
CEACLM0000015,2024-07-29,CEASUB001467,New Jagan Services,CEA0019,Manufacturing defect,1,22288.36,11618.21,Approved,dealer says slow moving,photo missing
CEACLM0000016,12/19/2025,CEASUB004131,City Suresh Traders,CEA0018,Scheme claim,25,20636.88,10630.67,Credit note raised,batch issue,complete
CEACLM0000017,2025-04-01,CEASUB004208,SRI GEETHA TYRES,CEA0018,Transit damage,32,45642.66,25915.47,Approved,batch issue,invoice missing
CEACLM0000018,25-Sep-25,CEASUB000433,METRO ANAND TYRES,CEA0007,Transit damage,27,75675.68,32216.05,Credit note raised,warranty defect,manual approval
CEACLM0000019,2026-03-16,CEASUB004249,National Geetha Paints,CEA0038,Road hazard,58,50769.37,21331.22,Credit note raised,damaged in transit,complete
CEACLM0000020,2024-11-25,CEASUB001458,United Priya Tyres,CEA0011,Warranty claim,28,36020.61,3460.15,Open,expired stock,duplicate suspected
CEACLM0000021,2025-06-06,CEASUB001916,Vijaya Sowmya Distributors Ltd,CEA0018,Transit damage,8,79316.79,49678.60,Pending photo,leakage,duplicate suspected
CEACLM0000022,2024-06-02,CEASUB002595,Murugan Sowmya Hardware,CEA0026,Warranty claim,46,48656.88,23019.87,Credit note raised,rate difference,invoice missing
CEACLM0000023,2024-07-20,CEASUB000933,Kaveri Arun Tyres,CEA0022,Road hazard,7,3712.31,413.77,Rejected,rate difference,photo missing
CEACLM0000024,2025-05-26,CEASUB001501,Royal Karthik Tyres,CEA0028,Transit damage,27,77330.14,54821.59,Pending photo,rate difference,duplicate suspected
CEACLM0000025,2024-12-31,CEASUB000489,Kaveri Rafiq Tyres,CEA0024,Scheme claim,19,36666.34,27338.15,Rejected,wrong SKU billed,photo missing
CEACLM0000026,2024-08-14,CEASUB002400,STAR ARUN CORPORATION,CEA0023,Bead damage,57,45789.52,16369.49,Approved,rate difference,duplicate suspected
CEACLM0000027,10/21/2025,CEASUB002374,Metro Ganesh Tyres,CEA0004,Warranty claim,51,82916.78,60492.10,Settled,expired stock,duplicate suspected
CEACLM0000028,2026-02-13,CEASUB002385,Shree Anand Tyres,CEA0006,Tread wear,40,319.43,77.91,Pending photo,leakage,manual approval
CEACLM0000029,2024-10-01,CEASUB002190,Vijaya Lakshmi Distributors,CEA0034,Scheme claim,31,76164.67,48211.10,Credit note raised,wrong SKU billed,complete
CEACLM0000030,2024-11-10,CEASUB003858,New Suresh Tyres,CEA0034,Bead damage,44,10157.53,4921.35,Rejected,leakage,invoice missing
CEACLM0000031,02/04/2024,CEASUB001791,Modern Bala Corporation,CEA0028,Warranty claim,25,56452.05,54459.04,Rejected,leakage,complete
CEACLM0000032,2024-09-12,CEASUB001190,Lucky Senthil Mart,CEA0018,Transit damage,1,5226.16,706.93,Approved,dealer says slow moving,duplicate suspected
CEACLM0000033,2025-08-09,CEADLR000185,National Manoj Traders,CEA0021,Manufacturing defect,10,56499.82,42710.65,Pending photo,expired stock,manual approval
CEACLM0000034,2025-10-09,CEASUB002849,City Yusuf Tyres,CEA0038,Road hazard,28,2571.43,1608.85,Pending photo,dealer says slow moving,invoice missing
CEACLM0000035,08/12/2025,CEASUB001006,Murugan Rafiq Fertilisers,CEA0033,Scheme claim,37,61916.41,51521.33,Credit note raised,rate difference,complete
CEACLM0000036,2024-06-17,CEASUB003402,Ganesh Anand Mart,CEA0023,Bead damage,59,49945.35,20108.22,Credit note raised,rate difference,invoice missing
CEACLM0000037,2025-11-26,CEASUB003918,United Meena Tyres,CEA0020,Transit damage,1,29792.17,17016.01,Rejected,leakage,invoice missing
CEACLM0000038,12-May-24,CEASUB000576,Vijaya Prakash Fertilisers,CEA0026,Bead damage,51,78735.06,70939.53,Pending photo,damaged in transit,photo missing
CEACLM0000039,2026-01-18,CEASUB003679,Royal Karthik Mart,CEA0008,Road hazard,24,37023.24,16603.41,Rejected,wrong SKU billed,duplicate suspected
CEACLM0000040,24/11/2025,CEASUB001475,Royal Naveen Fertilisers,CEA0010,Tread wear,29,49024.19,34862.71,Rejected,rate difference,duplicate suspected
CEACLM0000041,2025-02-26,CEASUB000997,Vijaya Meena Services,CEA0037,Tread wear,36,41927.07,17812.05,Settled,leakage,duplicate suspected
CEACLM0000042,08/08/2025,CEASUB003303,Lucky Karthik Hardware,CEA0002,Tread wear,53,53582.86,52806.44,Credit note raised,warranty defect,invoice missing
CEACLM0000043,2024-05-05,CEASUB001973,Modern Manoj Stores,CEA0030,Tread wear,12,56754.08,14852.70,Open,leakage,duplicate suspected
CEACLM0000044,2024-05-23,CEASUB002152,New Chandra Sales,CEA0036,Bead damage,3,18373.12,8760.01,Approved,damaged in transit,photo missing
CEACLM0000045,14/03/2025,CEASUB003878,Star Geetha Tyres Pvt,CEA0034,Transit damage,41,44062.05,14157.39,Rejected,batch issue,manual approval
CEACLM0000046,2025-02-04,CEADLR000299,Vijaya Senthil Tyres Pvt,CEA0027,Bead damage,33,72387.08,35150.36,Credit note raised,expired stock,complete
CEACLM0000047,2025-08-26,CEADLR000394,Metro Deepak Paints,CEA0038,Road hazard,45,28907.87,19183.91,Credit note raised,damaged in transit,photo missing
CEACLM0000048,2024-10-24,CEASUB000075,Balaji Sowmya Depot,CEA0006,Manufacturing defect,1,56685.96,18055.83,Pending photo,dealer says slow moving,duplicate suspected
CEACLM0000049,2025-09-05,CEASUB000809,Lucky Sanjay Tyres,CEA0011,Transit damage,30,65200.35,2756.01,Open,batch issue,photo missing
CEACLM0000050,2025-03-20,CEASUB001454,New Lokesh Services,CEA0002,Bead damage,4,6056.67,3790.96,Credit note raised,expired stock,manual approval
CEACLM0000051,2025-12-23,CEASUB002546,New Hari Tyres,CEA0016,Warranty claim,26,8284.02,4221.55,Credit note raised,dealer says slow moving,complete
CEACLM0000052,2025-03-27,CEASUB004297,New Deepak Agencies,CEA0026,Bead damage,44,2985.33,371.66,Pending photo,rate difference,photo missing
CEACLM0000053,2025-06-20,CEASUB000266,National Anand Sales Main,CEA0004,Tread wear,37,25247.17,21733.58,Credit note raised,batch issue,manual approval
