watch_id,customer_id,customer_name,added_by,added_date,watch_reason,last_known_action,manager_confidence
ASPWL00001,ASPDLR000430,Mahalakshmi Naveen Paints,Zonal office,2025-12-23,scheme claim pending,field visit planned,unknown
ASPWL00002,ASPDLR000959,Modern Prakash Services,ASM,2025-09-07,payment delay,field visit planned,high
ASPWL00003,ASPDLR000808,National Bala Paints,Distributor,2025-11-01,owner dispute,field visit planned,high
ASPWL00004,ASPDLR000059,Murugan Sowmya Chemicals,Zonal office,12/02/2026,competitor offer,lost to competitor,low
ASPWL00005,ASPDLR000029,Modern Prakash Corporation,Distributor,2025-06-12,competitor offer,new owner to verify,medium
ASPWL00006,ASPDLR000405,Shree Priya Mart,RSM,2026-01-15,competitor offer,waiting for payment,high
ASPWL00007,ASPDLR000369,National Irfan Tyres,Distributor,19-Sep-25,orders down,waiting for payment,high
ASPWL00008,ASPDLR000005,MURUGAN MANOJ PAINTS,ASM,2026-02-15,scheme claim pending,lost to competitor,medium
ASPWL00009,ASPDLR000228,Lucky Bala Fertilisers,Service,2025-08-05,scheme claim pending,new owner to verify,low
ASPWL00010,ASPDLR000186,METRO GANESH PAINTS,Zonal office,2025-06-25,scheme claim pending,scheme support requested,low
ASPWL00011,ASPDLR000719,Mahalakshmi Arun Paints,Distributor,2025-07-22,scheme claim pending,lost to competitor,high
ASPWL00012,ASPDLR000536,New Senthil Fertilisers,RSM,2025-10-30,competitor offer,new owner to verify,medium
ASPWL00013,ASPDLR000524,NEW LOKESH AGRO,RSM,2025-09-29,competitor offer,credit call done,medium
ASPWL00014,ASPDLR000408,Star Lokesh Paints,Zonal office,2025-07-07,payment delay,lost to competitor,unknown
ASPWL00015,ASPDLR000950,GANESH GANESH MART,Distributor,2026-01-29,payment delay,credit call done,unknown
ASPWL00016,ASPDLR000559,National Yusuf Paints,Zonal office,2025-06-27,seasonal crop miss,lost to competitor,unknown
ASPWL00017,ASPDLR000864,Sree Kavya Tyres,Zonal office,2025-12-10,owner dispute,lost to competitor,low
ASPWL00018,ASPDLR000263,New Jagan Agencies,Credit,2025-11-11,orders down,lost to competitor,medium
ASPWL00019,ASPDLR000567,Mahalakshmi Deepak Paints,ASM,2025-06-27,competitor offer,waiting for payment,unknown
ASPWL00020,ASPDLR000050,Sri Farida Stores,RSM,21/07/2025,payment delay,lost to competitor,medium
ASPWL00021,ASPDLR000238,Sree Geetha Paints,Credit,2025-06-12,orders down,field visit planned,low
ASPWL00022,ASPDLR000399,City Chandra Paints,RSM,04/02/2026,closed counter,waiting for payment,unknown
ASPWL00023,ASPDLR000134,Lucky Arun Paints,ASM,2025-08-31,service complaint,lost to competitor,unknown
ASPWL00024,ASPDLR000315,Vijaya Sanjay Paints,Service,2026-03-06,closed counter,lost to competitor,medium
ASPWL00025,ASPDLR000799,Balaji Meena Paints,Zonal office,2026-02-09,service complaint,waiting for payment,low
ASPWL00026,ASPDLR000625,Star Bala Stores,RSM,2025-11-22,closed counter,scheme support requested,high
ASPWL00027,ASPDLR000017,National Naveen Paints,Zonal office,01/21/2026,seasonal crop miss,lost to competitor,unknown
ASPWL00028,ASPDLR000613,Murugan Meena Paints,Credit,2025-11-02,closed counter,new owner to verify,medium
ASPWL00029,ASPDLR000197,Sree Hari Hardware,Service,02/26/2026,seasonal crop miss,new owner to verify,unknown
ASPWL00030,ASPDLR000587,Sree Geetha Mart,Zonal office,2025-07-19,scheme claim pending,waiting for payment,unknown
ASPWL00031,ASPDLR000833,Balaji Anand Hardware,Service,2025-10-20,closed counter,waiting for payment,high
ASPWL00032,ASPDLR000610,Metro Meena Paints,Service,2026-03-23,scheme claim pending,scheme support requested,medium
ASPWL00033,ASPDLR000170,Murugan Chandra Corporation,Distributor,2026-03-09,owner dispute,lost to competitor,low
ASPWL00034,ASPDLR000412,United Irfan Hardware,RSM,2026-03-26,competitor offer,credit call done,medium
