watch_id,customer_id,customer_name,added_by,added_date,watch_reason,last_known_action,manager_confidence
CORWL00001,CORDLR001157,Balaji Jagan Mart,Service,2025-09-19,competitor offer,scheme support requested,medium
CORWL00002,CORDLR000295,MODERN FARIDA ENTERPRISES,Service,17-Dec-25,payment delay,credit call done,medium
CORWL00003,CORDLR001070,Vijaya Sanjay Tyres,RSM,09/14/2025,closed counter,new owner to verify,low
CORWL00004,CORDLR000851,New Bala Agro,Credit,25-Feb-26,closed counter,lost to competitor,low
CORWL00005,CORDLR000279,United Hari Agro,Credit,2026-01-19,scheme claim pending,field visit planned,unknown
CORWL00006,CORDLR002382,Royal Rafiq Chemicals,Service,22-Feb-26,payment delay,new owner to verify,medium
CORWL00007,CORDLR001162,MAHALAKSHMI IRFAN PAINTS,Service,2025-06-22,competitor offer,scheme support requested,medium
CORWL00008,CORDLR002295,Prime Hari Agro,RSM,2025-07-09,orders down,field visit planned,low
CORWL00009,CORDLR002324,Balaji Arun Agencies,Credit,2025-10-02,scheme claim pending,new owner to verify,medium
CORWL00010,CORDLR002868,Shree Venkatesh Services,Service,2025-07-06,service complaint,lost to competitor,unknown
CORWL00011,CORDLR000503,Royal Karthik Traders & Co,Service,19-Jan-26,scheme claim pending,field visit planned,high
CORWL00012,CORDLR002854,United Sanjay Traders,Credit,2026-03-19,competitor offer,waiting for payment,medium
CORWL00013,CORDLR002194,Modern Jagan Associates,RSM,2025-08-28,service complaint,waiting for payment,low
CORWL00014,CORDLR000485,City Sanjay Paints,Service,2026-01-17,closed counter,new owner to verify,unknown
CORWL00015,CORDLR000328,Star Geetha Agro,Zonal office,2025-07-08,orders down,scheme support requested,low
CORWL00016,CORDLR002262,Royal Sowmya Agro,RSM,2026-03-07,payment delay,waiting for payment,medium
CORWL00017,CORDLR001058,Ganesh Meena Sales,ASM,11/17/2025,closed counter,scheme support requested,medium
CORWL00018,CORDLR001288,Prime Bala Agro,Credit,2026-01-11,closed counter,new owner to verify,unknown
CORWL00019,CORDLR000412,Vijaya Farida Distributors,RSM,2025-09-30,competitor offer,field visit planned,medium
CORWL00020,CORDLR002615,Modern Manoj Services,ASM,2025-08-27,owner dispute,scheme support requested,medium
CORWL00021,CORDLR001385,Modern Suresh Associates,Credit,2025-10-10,seasonal crop miss,credit call done,medium
CORWL00022,CORDLR002328,Sree Ganesh Stores,Distributor,14/08/2025,owner dispute,lost to competitor,unknown
CORWL00023,CORDLR001091,Ganesh Sowmya Agro,RSM,2025-09-28,competitor offer,credit call done,unknown
CORWL00024,CORDLR002550,Mahalakshmi Arun Agro,RSM,2025-07-27,scheme claim pending,new owner to verify,low
CORWL00025,CORDLR002353,Prime Kavya Enterprises Main,ASM,2026-01-15,payment delay,lost to competitor,high
CORWL00026,CORDLR000920,Vijaya Sowmya Agro,Credit,2025-10-03,closed counter,field visit planned,medium
CORWL00027,CORDLR000580,New Farida Corporation,Distributor,2025-11-26,orders down,credit call done,unknown
CORWL00028,CORDLR000460,United Lokesh Agro Main,Distributor,15/07/2025,service complaint,waiting for payment,medium
CORWL00029,CORDLR001930,National Venkatesh Stores,Credit,2025-09-07,competitor offer,new owner to verify,unknown
CORWL00030,CORDLR001433,Vijaya Venkatesh Traders,ASM,2025-08-09,scheme claim pending,field visit planned,high
CORWL00031,CORDLR000514,UNITED IRFAN PAINTS,Distributor,2026-03-13,scheme claim pending,new owner to verify,low
CORWL00032,CORDLR002438,BALAJI MEENA FERTILISERS,Zonal office,2026-03-09,service complaint,new owner to verify,low
CORWL00033,CORDLR000843,Lucky Lakshmi Agro,Credit,2025-10-17,scheme claim pending,lost to competitor,medium
CORWL00034,CORDLR001588,Vijaya Anand Agro,Credit,2025-09-13,competitor offer,scheme support requested,unknown
CORWL00035,CORDLR000131,Sree Arun Hardware,ASM,2025-06-11,owner dispute,waiting for payment,medium
CORWL00036,CORDLR000320,Royal Ganesh Hardware,Credit,2025-07-15,service complaint,new owner to verify,unknown
CORWL00037,CORDLR002989,Murugan Suresh Chemicals,RSM,2026-02-17,orders down,credit call done,medium
CORWL00038,CORDLR001376,Modern Irfan Traders,ASM,2025-08-26,seasonal crop miss,lost to competitor,unknown
CORWL00039,CORDLR001800,Lucky Geetha Associates,ASM,13/03/2026,seasonal crop miss,waiting for payment,high
CORWL00040,CORDLR001928,Balaji Yusuf Enterprises,RSM,2025-11-01,seasonal crop miss,scheme support requested,low
CORWL00041,CORDLR002222,Kaveri Irfan Traders,RSM,2025-07-13,service complaint,lost to competitor,high
CORWL00042,CORDLR000970,Lucky Venkatesh Agro,Service,2025-06-09,service complaint,waiting for payment,medium
CORWL00043,CORDLR000267,Star Irfan Hardware,Distributor,2026-02-12,closed counter,lost to competitor,medium
CORWL00044,CORDLR001554,Star Meena Agro,RSM,2025-11-08,owner dispute,waiting for payment,unknown
CORWL00045,CORDLR000569,Kaveri Lokesh Services,Service,2025-12-05,orders down,lost to competitor,low
CORWL00046,CORDLR001678,Lucky Arun Sales Ltd,ASM,2025-09-25,closed counter,field visit planned,unknown
CORWL00047,CORDLR000613,Royal Lakshmi Enterprises & Co,Distributor,2026-03-03,closed counter,waiting for payment,low
CORWL00048,CORDLR001434,Sri Meena Corporation,Credit,2025-07-06,closed counter,field visit planned,medium
CORWL00049,CORDLR001717,MODERN FARIDA AGRO,Service,2025-07-21,scheme claim pending,lost to competitor,medium
CORWL00050,CORDLR001605,Balaji Ganesh Agro,ASM,2025-11-22,scheme claim pending,new owner to verify,medium
CORWL00051,CORDLR000797,City Arun Agro,Credit,2025-07-30,scheme claim pending,field visit planned,unknown
CORWL00052,CORDLR001147,United Geetha Tyres,ASM,02/17/2026,service complaint,scheme support requested,medium
CORWL00053,CORDLR000062,Shree Hari Agro,Service,2025-10-03,service complaint,scheme support requested,medium
CORWL00054,CORDLR001107,Shri Hari Fertilisers,ASM,2025-12-18,owner dispute,credit call done,unknown
CORWL00055,CORDLR002624,Murugan Jagan Agro,ASM,2025-10-20,service complaint,field visit planned,high
