fleet_id,fleet_name,mapped_dealer_id,state,city,vehicle_count,segment,contract_status,last_review_date,note
CEAFLEET00001,Murugan Venkatesh Fertilisers,CEADLR000587,Tamil Nadu,Kanchipuram,217,Bus,rate negotiation,2025-08-19,OEM fitment
CEAFLEET00002,Mahalakshmi Farida Logistics,CEADLR000104,Telangana,Karimnagar,87,Bus,expired,2024-05-25,claims pending
CEAFLEET00003,Metro Naveen Enterprises,CEADLR000287,Karnataka,Mysuru,334,Agri,rate negotiation,2025-08-12,price pressure
CEAFLEET00004,Ganesh Arun Logistics,CEADLR000059,AP,Ongole,616,Mining,rate negotiation,09/12/2024,OEM fitment
CEAFLEET00005,Shree Lokesh Agencies,CEADLR000412,Kerala,Kozhikode,359,LCV,rate negotiation,2024-07-02,
CEAFLEET00006,Shree Hari Corporation,CEADLR000067,Tamil Nadu,Chennai,626,Agri,active,30/06/2024,claims pending
CEAFLEET00007,SREE FARIDA DISTRIBUTORS,CEADLR000177,Andhra Pradesh,Visakhapatnam,183,Mining,trial,2024-09-09,OEM fitment
CEAFLEET00008,Kaveri Anand Depot,CEADLR000327,Tamilnadu,Kanchipuram,411,Bus,trial,28/11/2025,competitor test running
CEAFLEET00009,Modern Rafiq Traders,CEADLR000152,Kerala,Kochi,391,Mining,expired,2025-11-30,OEM fitment
CEAFLEET00010,Modern Prakash Logistics,CEADLR000186,Tamil Nadu,Trichy,55,Mining,rate negotiation,2025-01-06,OEM fitment
CEAFLEET00011,Modern Venkatesh Logistics,CEADLR000109,TAMILNADU,Kanchipuram,316,Mining,trial,2024-10-14,competitor test running
CEAFLEET00012,Ganesh Geetha Paints,CEADLR000038,Telangana,Mahbubnagar,516,Agri,expired,2025-10-30,claims pending
CEAFLEET00013,United Hari Logistics,CEADLR000206,A.P.,Rajahmundry,185,Mining,rate negotiation,2024-10-25,
CEAFLEET00014,Kaveri Jagan Sales,CEADLR000254,Tamil Nadu,Madurai,448,LCV,trial,22/11/2024,OEM fitment
CEAFLEET00015,Lucky Naveen Services,CEADLR000441,Telangana,Hyderabad,407,Truck,rate negotiation,2025-04-16,claims pending
CEAFLEET00016,Vijaya Sanjay Corporation,CEADLR000288,Tamil Nadu,Thanjavur,539,Taxi,expired,05/04/2025,OEM fitment
CEAFLEET00017,Kaveri Priya Distributors,CEADLR000114,Tamil Nadu,Trichy,352,Truck,expired,2025-07-16,competitor test running
CEAFLEET00018,United Hari Distributors,CEADLR000541,Karnataka,Davanagere,559,Agri,trial,2025-05-29,OEM fitment
CEAFLEET00019,Metro Farida Corporation,CEADLR000122,Karnataka,Mysuru,275,LCV,rate negotiation,2024-06-25,competitor test running
CEAFLEET00020,Murugan Lakshmi Logistics,CEADLR000440,Telangana,Adilabad,58,Truck,expired,2024-12-03,price pressure
CEAFLEET00021,Sri Yusuf Tyres,CEADLR000662,Kerala,Thiruvananthapuram,296,Mining,trial,2024-09-03,
CEAFLEET00022,Metro Bala Logistics,CEADLR000639,Tamil Nadu,Tirunelveli,373,Mining,trial,2025-03-17,OEM fitment
CEAFLEET00023,Modern Hari Corporation,CEADLR000702,Karnataka,Shivamogga,374,Bus,lost,2025-07-19,claims pending
CEAFLEET00024,Kaveri Karthik Logistics,CEADLR000348,Andhra Pradesh,Rajahmundry,29,LCV,expired,2026-02-02,
CEAFLEET00025,CITY SURESH TRADERS,CEADLR000446,KA,Tumakuru,203,LCV,expired,2024-07-26,OEM fitment
CEAFLEET00026,National Suresh Logistics,CEADLR000700,Andhra Pradesh,Ongole,590,Truck,active,23/09/2025,price pressure
CEAFLEET00027,United Suresh Distributors Pvt,CEADLR000572,Karnataka,Mysuru,58,LCV,lost,2025-01-27,competitor test running
CEAFLEET00028,GANESH PRIYA HARDWARE,CEADLR000139,Tamil Nadu,Tirunelveli,128,Mining,trial,2024-12-15,OEM fitment
CEAFLEET00029,Kaveri Anand Logistics,CEADLR000531,Kerala,Kannur,350,Bus,active,2025-11-09,price pressure
CEAFLEET00030,Star Hari Traders,CEADLR000437,Karnataka,Hubballi,281,Mining,expired,2025-10-24,competitor test running
CEAFLEET00031,National Bala Distributors,CEADLR000649,Andhra Pradesh,Ongole,13,LCV,lost,2025-08-15,price pressure
CEAFLEET00032,Balaji Sowmya Tyres,CEADLR000708,Karnataka,Udupi,178,LCV,active,2024-04-23,competitor test running
CEAFLEET00033,Sri Irfan Traders,CEADLR000737,Karnataka,Davanagere,631,Agri,rate negotiation,2024-11-23,competitor test running
CEAFLEET00034,Kaveri Geetha Logistics,CEADLR000650,Andhra Pradesh,Ongole,366,LCV,active,01/07/2025,OEM fitment
CEAFLEET00035,Kaveri Rafiq Logistics,CEADLR000280,Kerala,Kannur,233,Bus,rate negotiation,01/25/2026,competitor test running
CEAFLEET00036,Metro Bala Logistics,CEADLR000452,Andhra Pradesh,Anantapur,648,Mining,expired,2025-10-26,competitor test running
CEAFLEET00037,SREE JAGAN HARDWARE,CEADLR000589,Tamil Nadu,Tirunelveli,622,Truck,rate negotiation,08/05/2025,competitor test running
CEAFLEET00038,Kaveri Lokesh Logistics,CEADLR000577,Telangana,Warangal,196,Truck,rate negotiation,2025-04-17,competitor test running
CEAFLEET00039,Sree Geetha Logistics,CEADLR000074,Puducherry,Puducherry,587,Truck,active,2025-08-29,price pressure
CEAFLEET00040,Vijaya Naveen Logistics,CEADLR000443,Andhra Pradesh,Nellore,99,Truck,active,06/28/2024,OEM fitment
CEAFLEET00041,Shree Priya Stores,CEADLR000745,Karnataka,Raichur,35,Mining,expired,2025-09-21,OEM fitment
CEAFLEET00042,Metro Yusuf Logistics Pvt,CEADLR000320,Andhra Pradesh,Kakinada,391,Agri,rate negotiation,2026-03-12,OEM fitment
CEAFLEET00043,Sree Suresh Traders,CEADLR000541,Andhra Pradesh,Anantapur,257,Bus,active,2024-12-26,competitor test running
CEAFLEET00044,National Priya Associates Ltd,CEADLR000664,Andhra Pradesh,Visakhapatnam,467,LCV,lost,2025-05-11,price pressure
CEAFLEET00045,Lucky Bala Traders,CEADLR000648,Andhra Pradesh,Kurnool,582,LCV,trial,07-Sep-24,
CEAFLEET00046,Vijaya Anand Tyres,CEADLR000018,TELANGANA,Siddipet,32,LCV,lost,2024-10-31,competitor test running
CEAFLEET00047,Ganesh Farida Associates,CEADLR000524,Telangana,Warangal,493,Taxi,expired,22-Aug-25,OEM fitment
CEAFLEET00048,Royal Suresh Tyres,CEADLR000630,Karnataka,Udupi,586,Taxi,active,2024-05-03,claims pending
CEAFLEET00049,National Senthil Fertilisers,CEADLR000040,Karnataka,Shivamogga,124,Agri,trial,2024-05-24,
CEAFLEET00050,Metro Lakshmi Hardware,CEADLR000140,Tamil Nadu,Madurai,615,Bus,lost,06/03/2025,OEM fitment
CEAFLEET00051,United Prakash Logistics,CEADLR000001,KL,Kollam,24,Taxi,lost,2024-12-14,price pressure
CEAFLEET00052,STAR KARTHIK FERTILISERS,CEADLR000577,Karnataka,Ballari,36,Truck,lost,2025-02-01,OEM fitment
CEAFLEET00053,Metro Naveen Fertilisers,CEADLR000747,Karnataka,Mangaluru,507,Agri,lost,02/12/2025,OEM fitment
CEAFLEET00054,Shree Deepak Distributors,CEADLR000580,Karnataka,Mangaluru,577,Taxi,active,2024-10-13,OEM fitment
CEAFLEET00055,Kaveri Lokesh Hardware,CEADLR000621,Karnataka,Davanagere,484,Bus,lost,2025-12-21,OEM fitment
CEAFLEET00056,Shree Rafiq Distributors,CEADLR000626,Telangana,Nizamabad,270,LCV,rate negotiation,10/03/2025,competitor test running
CEAFLEET00057,Star Karthik Stores,CEADLR000059,KERALA,Kozhikode,548,Agri,trial,31/12/2024,
CEAFLEET00058,CITY SENTHIL FERTILISERS,CEADLR000513,Andhra Pradesh,Rajahmundry,458,Mining,rate negotiation,2025-12-19,
CEAFLEET00059,Modern Deepak Stores,CEADLR000676,Tamil Nadu,Trichy,92,Bus,trial,2024-04-21,price pressure
CEAFLEET00060,Mahalakshmi Bala Distributors,CEADLR000035,Telangana,Mahbubnagar,90,Mining,lost,2024-09-28,competitor test running
CEAFLEET00061,Ganesh Priya Stores,CEADLR000466,Karnataka,Tumakuru,642,Truck,expired,25/04/2024,claims pending
CEAFLEET00062,Shree Naveen Depot,CEADLR000540,Telangana,Nizamabad,218,Bus,rate negotiation,2025-09-08,competitor test running
CEAFLEET00063,Ganesh Sanjay Mart,CEADLR000663,Karnataka,Davanagere,399,LCV,trial,18/03/2025,price pressure
CEAFLEET00064,National Farida Logistics,CEADLR000578,KL,Thiruvananthapuram,304,Truck,trial,06/18/2025,competitor test running
CEAFLEET00065,Star Rafiq Services,CEADLR000361,Tamil Nadu,Vellore,601,Mining,lost,25/08/2025,
CEAFLEET00066,Balaji Sowmya Agro,CEADLR000342,Tamil Nadu,Chennai,409,Truck,expired,2024-10-25,OEM fitment
CEAFLEET00067,Ganesh Sowmya Hardware,CEADLR000379,Andhra Pradesh,Guntur,277,Truck,active,2026-03-18,OEM fitment
CEAFLEET00068,United Deepak Chemicals,CEADLR000350,Kerala,Thrissur,558,LCV,expired,2024-08-13,competitor test running
CEAFLEET00069,Mahalakshmi Naveen Corporation,CEADLR000633,Andhra Pradesh,Guntur,78,Truck,rate negotiation,2024-10-19,OEM fitment
CEAFLEET00070,United Manoj Logistics,CEADLR000661,Telangana,Karimnagar,553,Agri,rate negotiation,11/17/2024,competitor test running
CEAFLEET00071,Modern Manoj Agencies,CEADLR000602,Andhra Pradesh,Nellore,268,Bus,expired,2024-04-28,competitor test running
CEAFLEET00072,Lucky Manoj Logistics,CEADLR000357,TG,Warangal,278,Truck,rate negotiation,12/11/2025,competitor test running
CEAFLEET00073,Metro Farida Logistics,CEADLR000580,Andhra Pradesh,Tirupati,168,Truck,active,2024-09-18,claims pending
CEAFLEET00074,Vijaya Deepak Paints,CEADLR000605,Karnataka,Bengaluru,169,Mining,expired,11/15/2025,price pressure
CEAFLEET00075,City Hari Logistics,CEADLR000164,Karnataka,Kalaburagi,357,Truck,trial,21-Feb-25,competitor test running
CEAFLEET00076,Prime Ganesh Tyres,CEADLR000154,TS,Nalgonda,285,Bus,rate negotiation,2026-02-01,price pressure
CEAFLEET00077,Prime Irfan Logistics,CEADLR000221,Tamil Nadu,Thanjavur,433,Taxi,active,2025-06-08,OEM fitment
