lead_id,lead_date,mapped_dealer_id,lead_type,stage,estimated_value,competitor_seen,note
ASPLEAD0000001,2024-04-17,ASPDLR000728,Beautiful Homes,quoted,1529912.51,Nerolac,dealer asked extra margin
ASPLEAD0000002,02/07/2025,ASPDLR000457,Waterproofing,stalled,726922.16,Indigo,dealer asked extra margin
ASPLEAD0000003,2025-11-17,ASPDLR000067,Beautiful Homes,site visit,2519465.84,None,contractor controls decision
ASPLEAD0000004,15/12/2024,ASPDLR000823,Builder project,site visit,2699213.57,JSW,payment risk
ASPLEAD0000005,2025-07-30,ASPDLR000012,Builder project,lost,724145.22,None,payment risk
ASPLEAD0000006,28-Jul-25,ASPDLR000934,Apartment repaint,won,1023423.97,None,
ASPLEAD0000007,2024-09-30,ASPDLR000666,Beautiful Homes,lost,1550888.70,None,contractor controls decision
ASPLEAD0000008,2025-10-08,ASPDLR000423,Builder project,stalled,2610992.10,Berger,
ASPLEAD0000009,2026-01-12,ASPDLR000917,Apartment repaint,new,1367265.24,Berger,dealer asked extra margin
ASPLEAD0000010,2025-09-29,ASPDLR000346,Apartment repaint,stalled,517617.86,Indigo,payment risk
ASPLEAD0000011,2026-03-10,ASPDLR000865,Apartment repaint,site visit,2584439.99,JSW,dealer asked extra margin
ASPLEAD0000012,2025-12-05,ASPDLR000932,Apartment repaint,won,1499965.49,Berger,price high
ASPLEAD0000013,2025-07-04,ASPDLR000493,Waterproofing,won,134849.45,None,payment risk
ASPLEAD0000014,2025-12-09,ASPDLR000413,Builder project,site visit,202946.96,JSW,price high
ASPLEAD0000015,2025-04-09,ASPDLR000470,Builder project,lost,2699722.22,JSW,contractor controls decision
ASPLEAD0000016,2025-09-03,ASPDLR000233,Beautiful Homes,stalled,1922423.83,Local,dealer asked extra margin
ASPLEAD0000017,2024-04-21,ASPDLR000656,Beautiful Homes,stalled,971268.74,Local,contractor controls decision
ASPLEAD0000018,2025-08-24,ASPDLR000757,Commercial,quoted,760659.15,Local,
ASPLEAD0000019,2025-08-17,ASPDLR000090,Commercial,lost,2543643.76,unknown,contractor controls decision
ASPLEAD0000020,2025-05-02,ASPDLR000078,Commercial,won,1067377.51,Indigo,dealer asked extra margin
ASPLEAD0000021,2025-09-24,ASPDLR000860,Commercial,quoted,2096224.25,Berger,contractor controls decision
ASPLEAD0000022,2025-10-26,ASPDLR000607,Builder project,won,2175804.95,Local,contractor controls decision
ASPLEAD0000023,2026-01-02,ASPDLR000941,Villa,quoted,2078532.34,Berger,contractor controls decision
ASPLEAD0000024,2026-01-09,ASPDLR000831,Villa,site visit,540540.53,Local,contractor controls decision
ASPLEAD0000025,2024-05-06,ASPDLR000181,Apartment repaint,stalled,115550.27,Berger,payment risk
ASPLEAD0000026,07-Sep-25,ASPDLR000459,Apartment repaint,stalled,2209877.39,Berger,dealer asked extra margin
ASPLEAD0000027,2025-06-27,ASPDLR000101,Beautiful Homes,new,31445.32,unknown,dealer asked extra margin
ASPLEAD0000028,2025-12-25,ASPDLR000523,Waterproofing,quoted,1403285.92,JSW,price high
ASPLEAD0000029,29-Apr-24,ASPDLR000617,Villa,site visit,441854.68,None,price high
ASPLEAD0000030,2025-02-04,ASPDLR000910,Villa,stalled,1721372.33,unknown,price high
ASPLEAD0000031,09/05/2024,ASPDLR000876,Villa,site visit,1210966.66,Nerolac,dealer asked extra margin
ASPLEAD0000032,2024-04-13,ASPDLR000786,Apartment repaint,lost,1174151.14,unknown,
ASPLEAD0000033,2025-04-29,ASPDLR000114,Builder project,stalled,778474.87,unknown,contractor controls decision
ASPLEAD0000034,2024-09-16,ASPDLR000741,Villa,new,568615.28,unknown,price high
ASPLEAD0000035,2024-10-18,ASPDLR000846,Apartment repaint,stalled,510589.04,unknown,dealer asked extra margin
ASPLEAD0000036,2024-08-20,ASPDLR000640,Waterproofing,lost,1630898.46,Berger,dealer asked extra margin
ASPLEAD0000037,2024-09-10,ASPDLR000700,Builder project,lost,1733699.79,Indigo,dealer asked extra margin
ASPLEAD0000038,10-Dec-25,ASPDLR000585,Villa,site visit,181900.05,JSW,price high
ASPLEAD0000039,2025-12-11,ASPDLR000239,Waterproofing,new,28169.11,Local,price high
ASPLEAD0000040,2025-07-29,ASPDLR000776,Beautiful Homes,stalled,2673026.84,Local,
ASPLEAD0000041,2024-07-16,ASPDLR000534,Villa,new,2858001.78,Local,payment risk
ASPLEAD0000042,31/08/2024,ASPDLR000167,Apartment repaint,stalled,881041.71,None,payment risk
ASPLEAD0000043,2024-11-26,ASPDLR000796,Builder project,quoted,2059728.29,Local,dealer asked extra margin
ASPLEAD0000044,2024-12-18,ASPDLR000900,Builder project,won,1097158.06,Berger,
ASPLEAD0000045,2025-07-02,ASPDLR000419,Beautiful Homes,site visit,443739.12,Indigo,dealer asked extra margin
ASPLEAD0000046,2025-02-16,ASPDLR000546,Beautiful Homes,site visit,786303.08,Berger,dealer asked extra margin
ASPLEAD0000047,2024-04-20,ASPDLR000478,Beautiful Homes,stalled,914149.59,unknown,
ASPLEAD0000048,2025-06-27,ASPDLR000888,Builder project,lost,1543097.42,Local,contractor controls decision
ASPLEAD0000049,2026-03-01,ASPDLR000198,Waterproofing,won,1452120.20,Nerolac,price high
ASPLEAD0000050,2025-08-13,ASPDLR000427,Beautiful Homes,new,1869420.64,None,
ASPLEAD0000051,2024-10-27,ASPDLR000518,Villa,site visit,2842298.08,Berger,payment risk
ASPLEAD0000052,12/05/2024,ASPDLR000184,Beautiful Homes,lost,899184.67,unknown,payment risk
ASPLEAD0000053,2024-07-05,ASPDLR000217,Apartment repaint,quoted,2066693.93,None,dealer asked extra margin
ASPLEAD0000054,2025-10-17,ASPDLR000059,Commercial,site visit,2839441.73,Indigo,
ASPLEAD0000055,2025-02-16,ASPDLR000878,Apartment repaint,won,709353.53,Nerolac,payment risk
ASPLEAD0000056,2026-02-18,ASPDLR000151,Villa,quoted,743139.48,JSW,price high
ASPLEAD0000057,28-Dec-24,ASPDLR000442,Beautiful Homes,site visit,2666928.06,unknown,
ASPLEAD0000058,2025-06-02,ASPDLR000472,Beautiful Homes,quoted,331999.40,Indigo,payment risk
ASPLEAD0000059,2025-03-19,ASPDLR000853,Builder project,new,572211.46,None,contractor controls decision
ASPLEAD0000060,2025-01-06,ASPDLR000519,Beautiful Homes,quoted,1788353.05,JSW,payment risk
ASPLEAD0000061,2026-03-03,ASPDLR000890,Builder project,won,1869323.31,JSW,payment risk
ASPLEAD0000062,2024-07-28,ASPDLR000522,Beautiful Homes,quoted,1874605.43,Berger,dealer asked extra margin
ASPLEAD0000063,02-Jul-24,ASPDLR000672,Apartment repaint,quoted,1780360.95,Nerolac,
ASPLEAD0000064,09/06/2024,ASPDLR000323,Apartment repaint,lost,2809992.07,Indigo,price high
ASPLEAD0000065,2024-11-03,ASPDLR000072,Beautiful Homes,won,38643.07,None,contractor controls decision
ASPLEAD0000066,10/12/2024,ASPDLR000474,Waterproofing,quoted,2158954.16,Nerolac,dealer asked extra margin
ASPLEAD0000067,2026-03-29,ASPDLR000596,Villa,lost,1646351.23,None,price high
ASPLEAD0000068,2024-09-24,ASPDLR000519,Apartment repaint,quoted,2685128.46,JSW,contractor controls decision
ASPLEAD0000069,02/09/2025,ASPDLR000143,Beautiful Homes,new,1775329.10,JSW,dealer asked extra margin
ASPLEAD0000070,2025-07-20,ASPDLR000532,Villa,won,2107426.74,None,dealer asked extra margin
ASPLEAD0000071,2025-01-20,ASPDLR000703,Villa,lost,2435462.02,Berger,
ASPLEAD0000072,2024-07-15,ASPDLR000725,Commercial,new,2827667.18,JSW,price high
ASPLEAD0000073,01-Jun-25,ASPDLR000540,Waterproofing,site visit,2159459.16,None,price high
ASPLEAD0000074,09/19/2024,ASPDLR000599,Apartment repaint,won,300391.24,JSW,dealer asked extra margin
ASPLEAD0000075,2024-08-27,ASPDLR000364,Beautiful Homes,stalled,1743424.13,Local,price high
ASPLEAD0000076,20-Sep-25,ASPDLR000364,Beautiful Homes,won,2014644.50,Nerolac,payment risk
ASPLEAD0000077,2026-01-23,ASPDLR000630,Apartment repaint,lost,1684580.52,None,payment risk
ASPLEAD0000078,2024-08-12,ASPDLR000478,Builder project,stalled,1105479.29,Local,contractor controls decision
ASPLEAD0000079,2025-03-16,ASPDLR000769,Waterproofing,quoted,2444257.17,JSW,payment risk
ASPLEAD0000080,2026-01-10,ASPDLR000061,Builder project,site visit,1993788.71,unknown,
ASPLEAD0000081,2024-08-26,ASPDLR000703,Villa,quoted,1037655.71,JSW,price high
ASPLEAD0000082,28-Apr-25,ASPDLR000984,Villa,new,1463947.76,JSW,
ASPLEAD0000083,2024-09-02,ASPDLR000713,Beautiful Homes,new,2194201.09,Berger,price high
ASPLEAD0000084,13-Jun-24,ASPDLR000802,Commercial,new,1117467.94,JSW,price high
ASPLEAD0000085,11/15/2024,ASPDLR000739,Commercial,new,2937648.17,JSW,dealer asked extra margin
ASPLEAD0000086,2025-02-20,ASPDLR000481,Beautiful Homes,site visit,1472291.57,None,price high
